;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Description;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
;Railways;300,00;310,00;330,00;340,00;310,00;310,00;310,00;300,00;250,00;240,00;230,00;220,00;210,00;220,00;220,00;240,00;230,00;230,00;240,00;230,00;250,00;250,00;250,00;250,00;260,00;250,00;260,00;250,00;230,00;230,00;200,00;190,00;180,00;180,00;180,00;170,00;170,00;160,00;120,00;100,00;70,00;20,00;20,00;20,00;20,00;10,00
;Domestic navigation;580,00;680,00;630,00;670,00;640,00;670,00;680,00;600,00;500,00;470,00;630,00;670,00;720,00;710,00;640,00;730,00;680,00;620,00;750,00;710,00;630,00;620,00;610,00;610,00;510,00;440,00;510,00;510,00;510,00;520,00;510,00;570,00;510,00;510,00;480,00;470,00;440,00;420,00;390,00;360,00;340,00;340,00;340,00;340,00;340,00;320,00
;Commercial and institutional;1420,00;1320,00;1220,00;1310,00;1110,00;1140,00;1310,00;1150,00;1030,00;1020,00;930,00;900,00;920,00;1000,00;980,00;980,00;980,00;890,00;880,00;860,00;850,00;680,00;750,00;750,00;600,00;650,00;660,00;670,00;660,00;580,00;540,00;690,00;540,00;410,00;350,00;290,00;210,00;120,00;80,00;60,00;50,00;50,00;50,00;50,00;40,00;40,00
;Commercial and institutional (mobile);20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;30,00;30,00;30,00;40,00;50,00;60,00;70,00;70,00;70,00;60,00;60,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;40,00;40,00;50,00;50,00;40,00;40,00;30,00;30,00;20,00;20,00;20,00;20,00;20,00;10,00;10,00
;Residential;5040,00;5350,00;4770,00;5520,00;5020,00;5070,00;5420,00;4850,00;4750,00;4560,00;4080,00;4280,00;4020,00;4000,00;3870,00;3760,00;3530,00;3300,00;3180,00;3100,00;3440,00;2940,00;2750,00;2670,00;2180,00;2280,00;2320,00;2190,00;2140,00;2020,00;1780,00;1620,00;1320,00;1170,00;1000,00;810,00;590,00;400,00;310,00;250,00;220,00;210,00;190,00;170,00;160,00;140,00
;Residential (mobile);100,00;100,00;100,00;110,00;110,00;110,00;110,00;110,00;120,00;120,00;120,00;120,00;120,00;120,00;120,00;110,00;110,00;110,00;110,00;110,00;100,00;100,00;90,00;90,00;90,00;90,00;90,00;90,00;80,00;80,00;70,00;60,00;60,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00
;Agriculture, forestry and aquaculture;2320,00;2440,00;2390,00;2200,00;2200,00;2240,00;2450,00;2480,00;2460,00;2450,00;2420,00;2370,00;2340,00;2260,00;2140,00;2110,00;2120,00;1950,00;1940,00;1910,00;1940,00;1840,00;1700,00;1730,00;1590,00;1620,00;1610,00;1490,00;1460,00;1390,00;1330,00;1330,00;1400,00;350,00;300,00;270,00;240,00;210,00;190,00;170,00;150,00;140,00;130,00;110,00;100,00;90,00
;Ag./for./fish. (mobile);110,00;100,00;100,00;90,00;80,00;80,00;80,00;60,00;60,00;60,00;60,00;50,00;50,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;1000,00;980,00;950,00;920,00;900,00;870,00;850,00;810,00;800,00;790,00;780,00;760,00;750,00
;Military (mobile);130,00;300,00;150,00;250,00;270,00;270,00;190,00;190,00;220,00;200,00;130,00;110,00;100,00;110,00;260,00;290,00;140,00;190,00;120,00;170,00;120,00;200,00;120,00;150,00;140,00;100,00;110,00;210,00;120,00;110,00;150,00;130,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
;Recreational boats (mobile);50,00;50,00;60,00;60,00;60,00;70,00;70,00;80,00;80,00;90,00;90,00;90,00;100,00;100,00;110,00;110,00;100,00;100,00;100,00;100,00;100,00;100,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00;90,00
;Fugitive emissions from oil;90,00;90,00;100,00;100,00;110,00;120,00;120,00;130,00;140,00;160,00;170,00;160,00;180,00;170,00;180,00;190,00;170,00;160,00;150,00;130,00;120,00;110,00;90,00;90,00;80,00;80,00;60,00;60,00;40,00;40,00;40,00;40,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00
;Fugitive emissions from gas;290,00;330,00;340,00;350,00;350,00;360,00;360,00;410,00;440,00;450,00;440,00;410,00;440,00;370,00;370,00;370,00;330,00;310,00;290,00;240,00;240,00;200,00;180,00;160,00;160,00;150,00;150,00;160,00;140,00;120,00;80,00;90,00;90,00;70,00;180,00;200,00;180,00;180,00;190,00;180,00;160,00;150,00;140,00;130,00;110,00;110,00
;Fugitive emissions from flaring;370,00;730,00;750,00;650,00;640,00;510,00;560,00;780,00;580,00;1230,00;810,00;860,00;720,00;750,00;840,00;600,00;610,00;610,00;440,00;290,00;400,00;280,00;240,00;270,00;280,00;280,00;310,00;270,00;260,00;220,00;140,00;130,00;110,00;100,00;120,00;100,00;100,00;100,00;110,00;110,00;110,00;110,00;110,00;110,00;110,00;100,00
;Mineral industry - excl. cement production;200,00;170,00;190,00;190,00;230,00;220,00;250,00;260,00;250,00;260,00;250,00;240,00;250,00;210,00;200,00;200,00;230,00;210,00;180,00;120,00;130,00;130,00;130,00;130,00;140,00;120,00;140,00;140,00;140,00;120,00;130,00;140,00;140,00;130,00;130,00;130,00;130,00;130,00;130,00;130,00;130,00;130,00;130,00;130,00;130,00;130,00
;Mineral industry - cement production;790,00;1010,00;1150,00;1160,00;1190,00;1260,00;1330,00;1330,00;1410,00;1380,00;1400,00;1400,00;1430,00;1350,00;1480,00;1380,00;1410,00;1420,00;1170,00;770,00;670,00;860,00;870,00;870,00;890,00;930,00;1100,00;1190,00;1160,00;1130,00;1230,00;1210,00;1070,00;1000,00;1040,00;960,00;940,00;920,00;870,00;820,00;770,00;780,00;780,00;790,00;790,00;800,00
;Chemical industry;890,00;820,00;720,00;680,00;690,00;770,00;710,00;730,00;690,00;810,00;860,00;760,00;660,00;770,00;450,00; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
;Metal industry;60,00;60,00;60,00;70,00;80,00;70,00;40,00;50,00;60,00;60,00;60,00;50,00; -; -; -;20,00; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
;Non-energy products from fuels and solvent use;170,00;180,00;190,00;170,00;190,00;190,00;200,00;180,00;190,00;190,00;190,00;180,00;200,00;190,00;190,00;220,00;200,00;200,00;190,00;170,00;200,00;190,00;190,00;200,00;180,00;180,00;160,00;170,00;160,00;160,00;170,00;180,00;160,00;170,00;170,00;170,00;170,00;170,00;170,00;170,00;170,00;170,00;170,00;170,00;170,00;170,00
;Electronic industry; -; -; -; -; -; -; -; -; -; -; -;10,00; -; -; -; -; -;10,00;10,00;10,00;10,00;10,00; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
;Product uses as ODS substitutes; -; -; -;100,00;140,00;240,00;370,00;380,00;510,00;650,00;750,00;740,00;770,00;790,00;840,00;890,00;910,00;940,00;940,00;960,00;800,00;730,00;730,00;660,00;600,00;450,00;500,00;410,00;470,00;320,00;320,00;280,00;260,00;260,00;280,00;290,00;280,00;270,00;250,00;230,00;210,00;210,00;170,00;150,00;130,00;130,00
;Other product manufacture and use;30,00;50,00;80,00;80,00;90,00;90,00;70,00;70,00;70,00;70,00;60,00;50,00;50,00;50,00;50,00;50,00;50,00;60,00;50,00;60,00;60,00;100,00;150,00;170,00;180,00;150,00;120,00;100,00;100,00;90,00;70,00;40,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00
;Other industrial processes; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
;Enteric fermentation;4450,00;4490,00;4440,00;4510,00;4410,00;4410,00;4410,00;4250,00;4260,00;4090,00;4030,00;4110,00;4050,00;4000,00;3890,00;3870,00;3870,00;3960,00;4000,00;4000,00;4050,00;4000,00;4100,00;4130,00;4130,00;4110,00;4160,00;4180,00;4200,00;4150,00;4140,00;4180,00;4090,00;4030,00;4050,00;3900,00;3880,00;3870,00;3860,00;3840,00;3830,00;3810,00;3800,00;3780,00;3760,00;3750,00
;Manure management;3330,00;3460,00;3670,00;3830,00;3770,00;3800,00;3840,00;3950,00;4130,00;4060,00;4160,00;4330,00;4470,00;4510,00;4620,00;4390,00;4170,00;4140,00;3990,00;3920,00;3990,00;3970,00;3890,00;3830,00;3860,00;3830,00;3820,00;3790,00;3860,00;3690,00;3760,00;3690,00;3490,00;3000,00;3010,00;2980,00;2900,00;2800,00;2730,00;2640,00;2560,00;2520,00;2500,00;2440,00;2420,00;2400,00
;Agricultural soils;5430,00;5260,00;5080,00;4900,00;4820,00;4740,00;4420,00;4430,00;4470,00;4280,00;4210,00;4080,00;4040,00;3850,00;3900,00;3880,00;3820,00;3960,00;4020,00;3950,00;3820,00;3860,00;3800,00;3760,00;3850,00;3850,00;3950,00;3980,00;3730,00;3900,00;3930,00;3640,00;3670,00;3570,00;3570,00;3560,00;3530,00;3490,00;3460,00;3420,00;3390,00;3370,00;3340,00;3350,00;3340,00;3340,00
;Field burning of agricultural residues; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
;Liming;570,00;460,00;360,00;310,00;370,00;500,00;390,00;470,00;250,00;260,00;260,00;200,00;230,00;230,00;160,00;220,00;190,00;190,00;230,00;180,00;150,00;160,00;190,00;240,00;240,00;170,00;210,00;210,00;240,00;180,00;250,00;260,00;250,00;240,00;230,00;230,00;230,00;230,00;230,00;230,00;230,00;230,00;230,00;230,00;230,00;230,00
;Urea application;10,00;10,00;10,00;10,00;20,00;20,00;10,00; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -;20,00; -; -; -; -; -; -; -; -; -; -; -; -; -
;Other carbon-containing fertilizers;30,00;30,00;30,00;30,00;20,00;20,00;10,00;10,00;10,00;10,00; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -;10,00; -; -; -; -; -; -;10,00; -; -; -; -; -; -; -; -; -; -; -; -; -
;Forest land;  -1200,00;  -1200,00;  -1200,00;  -1210,00;  -1210,00;  -1210,00;  -1210,00;  -1210,00;  -1220,00;  -1220,00;  -1250,00;  -1180,00;  -1110,00;  -1040,00;  -970,00;  -880,00;  -880,00;  -1110,00;  -1880,00;  -1940,00;  -2180,00;  -3170,00;  -3580,00;  -3390,00;  -3940,00;  -3980,00;  -3050,00;  -2570,00;  -2090,00;  -2410,00;  -2100,00;  -2870,00;  -3350,00;  -3210,00;  -2340,00;  -2250,00;  -1350,00;  -780,00;  -900,00;  -1250,00;  -1670,00;  -2020,00;  -2390,00;  -2710,00;  -2810,00;  -2860,00
;Cropland;5010,00;4250,00;5360,00;4300,00;3740,00;3930,00;3260,00;3650,00;3500,00;3730,00;3810,00;3130,00;4110,00;3870,00;3620,00;3350,00;3860,00;4350,00;3760,00;3080,00;2340,00;2590,00;2300,00;1860,00;2410,00;1470,00;1600,00;1110,00;2220,00;1680,00;1190,00;630,00;620,00;750,00;760,00;790,00;790,00;650,00;560,00;500,00;500,00;420,00;440,00;400,00;540,00;510,00
;Grassland;2330,00;2310,00;2290,00;2260,00;2240,00;2220,00;2190,00;2170,00;2150,00;2120,00;2100,00;2080,00;2050,00;2030,00;2000,00;2000,00;1980,00;1950,00;1930,00;1910,00;1880,00;1920,00;1970,00;1950,00;2130,00;2110,00;2050,00;2030,00;2020,00;2020,00;1990,00;2070,00;1970,00;1910,00;1860,00;1800,00;1720,00;1610,00;1440,00;1310,00;1220,00;1130,00;1090,00;1060,00;1050,00;1030,00
;Wetlands;100,00;90,00;90,00;80,00;80,00;80,00;90,00;110,00;90,00;80,00;80,00;80,00;100,00;90,00;100,00;100,00;100,00;90,00;70,00;90,00;80,00;90,00;80,00;70,00;80,00;80,00;80,00;80,00;110,00;110,00;120,00;140,00;140,00;150,00;150,00;170,00;190,00;220,00;270,00;290,00;340,00;380,00;410,00;420,00;420,00;420,00
;Settlements;450,00;450,00;450,00;440,00;440,00;420,00;400,00;390,00;370,00;350,00;330,00;310,00;290,00;280,00;260,00;290,00;280,00;280,00;280,00;270,00;270,00;280,00;300,00;270,00;350,00;400,00;370,00;230,00;290,00;220,00;210,00;290,00;340,00;230,00;240,00;240,00;250,00;250,00;260,00;260,00;270,00;270,00;280,00;280,00;290,00;290,00
;Other Land; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
;Harvested wood products; -;120,00;  -50,00;  -270,00;  -150,00;  -120,00;  -130,00;  -30,00;110,00;240,00;30,00;150,00;210,00;180,00;190,00;110,00;80,00;30,00;  -70,00;  -20,00;  -30,00;  -100,00;  -70,00;  -90,00;  -150,00;  -170,00;  -170,00;  -160,00;  -50,00;  -80,00;  -120,00;  -60,00;  -100,00;90,00;  -40,00;  -70,00;  -100,00;  -140,00;90,00;70,00;20,00;  -10,00;  -40,00;80,00;30,00;  -20,00
;Other LULUCF; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
;Solid waste disposal;1520,00;1520,00;1490,00;1460,00;1350,00;1240,00;1190,00;1080,00;990,00;1000,00;980,00;970,00;880,00;900,00;760,00;740,00;790,00;740,00;720,00;680,00;610,00;620,00;610,00;580,00;580,00;550,00;510,00;490,00;480,00;460,00;460,00;430,00;420,00;430,00;430,00;420,00;410,00;410,00;410,00;400,00;400,00;400,00;390,00;390,00;390,00;390,00
;Composting;40,00;40,00;50,00;50,00;50,00;50,00;60,00;70,00;70,00;90,00;90,00;90,00;100,00;100,00;90,00;90,00;100,00;110,00;100,00;110,00;110,00;100,00;100,00;100,00;100,00;110,00;110,00;120,00;120,00;120,00;130,00;120,00;120,00;130,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00
;Anaerobic digestion at biogas facilities;10,00;10,00;10,00;10,00;10,00;20,00;20,00;20,00;30,00;30,00;30,00;40,00;40,00;50,00;50,00;60,00;60,00;60,00;70,00;70,00;70,00;70,00;80,00;80,00;100,00;120,00;180,00;210,00;240,00;270,00;320,00;400,00;450,00;510,00;530,00;560,00;610,00;670,00;690,00;720,00;760,00;780,00;780,00;790,00;790,00;790,00
;Incineration and open burning of waste; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
;Anaerobic digestion at wastewater facilities;20,00;20,00;20,00;20,00;20,00;20,00;20,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;40,00;30,00;30,00;30,00;30,00;30,00;30,00;40,00;40,00;40,00;30,00;40,00;40,00;40,00;40,00;50,00;50,00;50,00;30,00;30,00;30,00;30,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00
;Sewage systems;310,00;280,00;290,00;210,00;230,00;230,00;190,00;190,00;180,00;150,00;160,00;160,00;180,00;140,00;130,00;150,00;130,00;150,00;190,00;120,00;130,00;140,00;120,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;130,00;130,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00;140,00
;Septic tanks;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00
;Other waste;20,00;20,00;30,00;20,00;20,00;30,00;30,00;30,00;20,00;20,00;20,00;20,00;20,00;30,00;20,00;20,00;20,00;20,00;30,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00
;Carbon capture & storage; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -;  -30,00;  -590,00;  -590,00;  -790,00;  -2840,00;  -2890,00;  -2900,00;  -2910,00;  -2750,00;  -2760,00;  -2770,00
;;  -10,00;  -10,00; -; -;30,00;90,00; -;10,00;10,00;10,00;10,00;20,00;50,00;10,00;10,00;20,00;10,00;40,00;20,00;70,00;130,00;40,00;30,00;90,00;40,00;130,00;170,00;80,00;160,00;170,00;210,00;110,00;250,00; -; -; -; -; -; -; -; -; -; -; -; -; -
;Partiel correction regarding methaneleakage from biogasproduction; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -;  -380,00;  -400,00;  -430,00;  -470,00;  -480,00;  -500,00;  -530,00;  -540,00;  -540,00;  -550,00;  -550,00;  -550,00
;Total;78340,00;88370,00;83460,00;84400,00;87870,00;85220,00;97520,00;88420,00;84410,00;81920,00;77360,00;78400,00;78950,00;83660,00;77480,00;72950,00;81020,00;76500,00;71450,00;67880,00;67050,00;61060,00;55880,00;57260,00;53250,00;49560,00;52550,00;50010,00;51620,00;46770,00;43870,00;43750,00;41660,00;37930,00;37500,00;35240,00;33750,00;32430,00;30970,00;26930,00;25350,00;24190,00;23130,00;22220,00;21540,00;20500,00
