Brancher,Year,Value
Utility services,2021,22383
"Agriculture, forestry, and fishing",2022,13519
Households,2022,9815
Industry,2022,6397
Other,2022,4670
Total,2022,100407
Total Industries,2022,90592
"Trade and transport, etc.",2022,45452
Utility services,2022,20555
"Agriculture, forestry, and fishing",2023,13311
Households,2023,9570
Industry,2023,5740
Other,2023,4697
Total,2023,98338
Total Industries,2023,88769
"Trade and transport, etc.",2023,45589
"Utility services",2023,19431
