"Brancher","Year","Value"
"Trade and transport, etc.","2019",52456
"Trade and transport, etc.","2020",43636
"Trade and transport, etc.","2021",50898
"Trade and transport, etc.","2022",45452
"Trade and transport, etc.","2023",45589
"Other","1990",3174
"Other","1991",3689
"Other","1992",3516
"Other","1993",3383
"Other","1994",3356
"Other","1995",3317
"Other","1996",3566
"Other","1997",3648
"Other","1998",3716
"Other","1999",3807
"Other","2000",3701
"Other","2001",3744
"Other","2002",3707
"Other","2003",3845
"Other","2004",3935
"Other","2005",4116
"Other","2006",4130
"Other","2007",4396
"Other","2008",4269
"Other","2009",4102
"Other","2010",4457
"Other","2011",4267
"Other","2012",4386
"Other","2013",4407
"Other","2014",4315
"Other","2015",4402
"Other","2016",4292
"Other","2017",4479
"Other","2018",4546
"Other","2019",4423
"Other","2020",4417
"Other","2021",4715
"Other","2022",4390
"Other","2023",4396
